timestamp,elapsed_s,power_w,cpu_temp_c,p_core_max_mhz,p_core_avg_mhz,e_core_max_mhz,e_core_avg_mhz,gpu_act_mhz,gpu_cur_mhz,gpu_throttle_reasons,th_pl1,th_pl2,th_thermal,th_prochot
1787566027.1754844,4709.434,0.0,66,4200,3818.0,3300,3255.8,0,1300,none,0,0,0,0
1787566027.4302115,4709.687,40.25,68,4430,1750.6,3300,1657.0,0,1300,none,0,0,0,0
1787566027.6815112,4709.941,32.25,68,4453,2876.0,2969,996.5,0,1300,none,0,0,0,0
1787566027.9325328,4710.192,30.99,75,4454,2844.0,3300,2766.4,0,1300,none,0,0,0,0
1787566028.183775,4710.443,24.6,64,4454,2513.5,3221,2155.2,0,1300,none,0,0,0,0
1787566028.4347615,4710.694,27.05,64,4200,2442.8,3313,2927.9,0,1300,none,0,0,0,0
1787566028.6861863,4710.945,25.88,60,4408,2389.1,2915,928.0,0,1300,none,0,0,0,0
1787566028.937387,4711.197,20.63,85,4500,2803.4,577,422.1,0,1300,none,0,0,0,0
1787566029.1886847,4711.448,30.19,93,4499,985.0,1341,517.6,0,1300,none,0,0,0,0
1787566029.4399843,4711.699,28.09,61,4500,3358.0,3300,2943.4,0,1300,none,0,0,0,0
1787566029.6909232,4711.951,26.91,68,4318,1987.8,3296,925.4,1200,1300,none,0,0,0,0
1787566029.942161,4712.201,30.63,60,4113,3122.8,3300,3073.1,0,1300,none,0,0,0,0
1787566030.193335,4712.453,28.7,88,4500,1331.5,400,400.0,0,1300,none,0,0,0,0
1787566030.4446366,4712.704,22.9,59,4485,3445.2,3300,3087.6,0,1300,none,0,0,0,0
1787566030.6960456,4712.955,19.31,64,4367,1783.8,2266,633.2,0,1300,none,0,0,0,0
1787566030.9472578,4713.207,21.31,65,4471,2423.2,400,400.0,0,1300,none,0,0,0,0
1787566031.1984773,4713.458,25.38,93,4500,1302.8,2605,675.6,0,1300,none,0,0,0,0
1787566031.449831,4713.709,29.64,80,4499,4289.9,3300,2867.4,0,1300,none,0,0,0,0
1787566031.7013204,4713.96,28.33,70,4270,1414.6,400,400.0,0,1300,none,0,0,0,0
1787566031.952418,4714.212,26.47,68,4381,1776.9,3234,1095.0,0,1300,none,0,0,0,0
1787566032.2035024,4714.463,25.8,69,4107,2127.1,400,400.0,0,1300,none,0,0,0,0
1787566032.4545882,4714.714,24.29,71,4499,3391.5,3299,2707.8,1300,1300,none,0,0,0,0
1787566032.7055895,4714.965,21.7,68,4500,996.9,3301,1448.8,0,1300,none,0,0,0,0
1787566032.956647,4715.216,23.16,66,4479,1681.0,3299,1422.9,0,1300,none,0,0,0,0
1787566033.2076187,4715.467,33.23,66,4096,871.4,2873,1217.5,0,1300,none,0,0,0,0
1787566033.4585993,4715.718,32.6,75,4200,2931.8,3124,2852.1,0,1300,none,0,0,0,0
1787566033.7097473,4715.969,33.77,85,4450,1735.2,3299,1267.1,0,1300,none,0,0,0,0
1787566033.9608104,4716.22,37.04,81,4205,1454.0,3299,1228.0,0,1300,none,0,0,0,0
1787566034.212016,4716.471,33.93,81,4464,1781.9,3300,1325.4,0,1300,none,0,0,0,0
1787566034.4632804,4716.723,34.29,90,4500,3091.6,2973,721.8,0,1300,none,0,0,0,0
1787566035.243074,4717.502,31.84,72,4168,2323.4,400,400.0,0,1300,none,0,0,0,0
1787566035.4943135,4717.754,37.62,92,4202,3289.4,3299,3199.2,0,1300,none,0,0,0,0
1787566035.7454708,4718.005,43.96,89,4207,1744.1,639,429.9,0,1300,none,0,0,0,0
1787566035.996626,4718.256,32.87,81,4205,1193.9,2159,731.5,0,1300,none,0,0,0,0
1787566036.2477996,4718.507,33.76,80,4199,1632.2,1514,665.9,0,1300,none,0,0,0,0
1787566036.499763,4718.758,33.07,80,4200,2623.2,2774,1182.8,0,1300,none,0,0,0,0
1787566036.7516344,4719.01,31.81,84,4200,3598.1,3162,2621.1,0,1300,none,0,0,0,0
1787566037.0032797,4719.262,28.32,81,4200,1586.6,3196,967.2,0,1300,none,0,0,0,0
1787566037.2550585,4719.514,40.54,84,4205,4169.6,2808,2773.2,0,1300,none,0,0,0,0
1787566037.5063705,4719.765,44.98,84,4222,3662.9,3300,2864.4,1300,1300,none,0,0,0,0
1787566037.7593062,4720.018,39.51,85,4200,4196.9,3102,3098.6,0,1300,pl4,0,0,0,0
1787566038.0111265,4720.27,45.19,95,4201,2451.8,3299,1657.4,0,1300,none,0,0,0,0
1787566038.2629776,4720.522,40.99,84,4415,2423.9,3300,2170.8,0,1300,none,0,0,0,0
1787566038.5148008,4720.773,40.75,84,4423,4227.0,3237,2737.0,0,1300,none,0,0,0,0
1787566038.7664218,4721.025,46.74,77,4266,2925.2,3299,1889.8,1300,1300,none,0,0,0,0
1787566039.0180235,4721.277,44.88,95,4144,3442.0,3098,1981.4,1300,1300,none,0,0,0,0
1787566039.2703443,4721.53,41.64,85,3600,3598.0,2800,2800.0,1300,1300,none,0,0,0,0
1787566039.5213404,4721.781,41.77,92,3875,3777.5,2932,2905.6,1300,1300,none,0,0,0,0
1787566039.7749894,4722.033,55.04,88,3700,3699.1,2904,2900.4,1300,1300,none,0,0,0,0
1787566040.0266879,4722.286,47.55,74,4500,912.5,3089,736.1,1300,1300,none,0,0,0,0
1787566040.2779298,4722.537,37.82,74,4499,1186.5,400,400.0,1300,1300,none,0,0,0,0
1787566040.5291488,4722.788,39.18,74,4458,1490.9,400,400.0,1300,1300,none,0,0,0,0
1787566040.7802503,4723.04,39.14,75,4129,2431.2,893,461.6,1300,1300,none,0,0,0,0
