timestamp,elapsed_s,power_w,cpu_temp_c,p_core_max_mhz,p_core_avg_mhz,e_core_max_mhz,e_core_avg_mhz,gpu_act_mhz,gpu_cur_mhz,gpu_throttle_reasons,th_pl1,th_pl2,th_thermal,th_prochot
1787565431.3937018,4113.653,0.0,58,3903,1296.6,3300,1980.0,0,1300,none,0,0,0,0
1787565431.645435,4113.904,38.5,63,4461,1468.0,3204,1319.5,0,1300,none,0,0,0,0
1787565431.896699,4114.156,31.94,73,4500,2743.1,2944,1621.4,0,1300,none,0,0,0,0
1787565432.1477387,4114.407,29.75,67,4514,1488.9,3115,1431.5,0,1300,none,0,0,0,0
1787565432.3990178,4114.658,25.4,60,4492,1907.2,400,400.0,0,1300,none,0,0,0,0
1787565432.6500607,4114.909,24.72,60,4366,2659.8,3292,1121.1,0,1300,none,0,0,0,0
1787565432.9014187,4115.161,23.17,51,4431,1363.8,2995,1181.0,0,1300,none,0,0,0,0
1787565433.1525888,4115.412,19.85,87,4500,1012.9,3295,814.9,0,1300,none,0,0,0,0
1787565433.403942,4115.663,28.42,71,4500,1068.1,3137,1523.5,0,1300,none,0,0,0,0
1787565433.6551933,4115.914,22.46,56,3951,1860.8,3298,1124.2,0,1300,none,0,0,0,0
1787565433.9061425,4116.166,30.58,62,4500,1339.5,400,400.0,1300,1300,none,0,0,0,0
1787565434.1571505,4116.417,30.97,81,4500,1438.4,2001,615.8,0,1300,none,0,0,0,0
1787565434.408318,4116.668,28.71,92,4500,1390.6,400,400.0,0,1300,none,0,0,0,0
1787565434.6594985,4116.919,19.09,49,3954,946.9,2843,1530.5,0,1300,none,0,0,0,0
1787565434.910741,4117.17,15.99,60,4496,912.0,3299,1051.1,0,1300,none,0,0,0,0
1787565435.1620224,4117.421,19.72,70,4418,981.8,772,455.1,0,1300,none,0,0,0,0
1787565435.4134603,4117.673,23.94,95,4401,1639.4,400,400.0,0,1300,none,0,0,0,0
1787565435.664791,4117.924,28.45,92,4299,1097.4,400,400.0,0,1300,none,0,0,0,0
1787565435.9161932,4118.175,28.56,76,4356,1412.8,3303,1485.2,0,1300,none,0,0,0,0
1787565436.167088,4118.427,23.37,64,4500,2147.4,3296,1432.9,0,1300,none,0,0,0,0
1787565436.418218,4118.678,21.8,61,4182,1885.4,3299,1182.6,0,1300,none,0,0,0,0
1787565436.6693292,4118.929,23.88,64,3864,1699.2,3216,1335.0,0,1300,none,0,0,0,0
1787565436.9204113,4119.18,24.04,71,4200,2561.0,400,400.0,0,1300,none,0,0,0,0
1787565437.1714606,4119.431,27.11,68,4202,2803.2,2620,816.9,0,1300,none,0,0,0,0
1787565437.4224231,4119.682,36.63,71,4200,2733.9,3100,2095.9,0,1300,none,0,0,0,0
1787565437.6735542,4119.933,29.16,67,4200,2028.2,2714,860.4,0,1300,none,0,0,0,0
1787565437.9246457,4120.184,26.95,70,4500,1091.1,2926,1039.5,0,1300,none,0,0,0,0
1787565438.1756697,4120.435,28.25,70,4341,3218.1,3100,1384.0,0,1300,none,0,0,0,0
1787565438.427312,4120.686,24.29,68,4500,2361.4,1783,667.2,0,1300,none,0,0,0,0
1787565438.6792884,4120.938,23.02,67,4500,1277.2,3299,1441.0,0,1300,none,0,0,0,0
1787565438.9314294,4121.19,35.95,81,4433,4205.9,3100,3099.4,0,1300,none,0,0,0,0
1787565439.18334,4121.442,43.49,89,4500,912.5,3299,881.1,0,1300,none,0,0,0,0
1787565439.4352288,4121.694,32.89,72,4435,1802.2,3299,2226.6,1300,1300,none,0,0,0,0
1787565439.6869938,4121.946,38.18,74,4500,2493.5,3106,1274.8,1300,1300,none,0,0,0,0
1787565439.9382436,4122.197,49.34,81,4200,2749.4,3242,2007.9,0,1300,none,0,0,0,0
1787565440.1894119,4122.449,42.41,79,4200,3491.2,3299,2995.8,0,1300,none,0,0,0,0
1787565440.4411802,4122.7,36.69,87,4200,2281.5,3094,2016.8,0,1300,none,0,0,0,0
1787565440.6923146,4122.952,40.57,81,4200,2187.0,2369,734.9,0,1300,none,0,0,0,0
1787565440.9439504,4123.203,42.5,93,4071,2016.6,3110,2591.4,1300,1300,none,0,0,0,0
1787565441.1948464,4123.454,38.09,71,3224,851.2,1486,733.0,1300,1300,none,0,0,0,0
1787565441.4457433,4123.705,33.85,67,3735,2804.9,3228,2950.4,1200,1300,pl4,0,0,0,0
1787565441.6967702,4123.956,40.12,66,4506,2351.1,1102,546.1,1300,1300,none,0,0,0,0
1787565441.947925,4124.207,44.45,71,4500,3996.6,2923,2753.8,1300,1300,none,0,0,0,0
1787565442.1990285,4124.458,46.62,72,4109,3115.1,2900,2314.6,1300,1300,none,0,0,0,0
1787565442.450271,4124.709,46.51,72,4309,3609.1,3273,2633.8,1300,1300,none,0,0,0,0
